1: 376
2: 624
3: 0
4: 
---------PLAYER 1 --------- | ------ PLAYER 2 -------------- 
         41.68%             |        96.92%
         69.45%             |        45.54%
         49.29%             |        52.77%
         45.18%             |        82.46%
         49.61%             |        82.30%
         48.94%             |        62.99%
         96.06%             |        41.62%
         45.49%             |        72.70%
         69.30%             |        84.94%
         33.27%             |        90.47%
         49.39%             |        40.98%
         50.10%             |        62.78%
         37.47%             |        47.95%
         45.18%             |        65.17%
         44.83%             |        49.61%
         41.30%             |        84.69%
         41.33%             |        69.20%
         88.99%             |        45.70%
         49.38%             |        58.19%
         81.46%             |        91.01%
         93.94%             |        84.48%
         24.85%             |        69.59%
         85.87%             |        68.99%
         49.32%             |        37.38%
         49.68%             |        45.53%
         32.21%             |        40.97%
         77.46%             |        88.28%
         41.30%             |        45.15%
         49.87%             |        41.26%
         99.44%             |        49.65%
         41.68%             |        68.68%
         49.68%             |        45.44%
         45.41%             |        50.09%
         45.88%             |        50.03%
         78.98%             |        49.29%
         95.36%             |        65.77%
         36.77%             |        45.79%
         56.47%             |        41.62%
         45.53%             |        84.46%
         59.57%             |        32.92%
         50.03%             |        88.28%
         49.70%             |        88.53%
         95.44%             |        62.79%
         59.55%             |        75.56%
         80.96%             |        99.88%
         49.04%             |        66.36%
         49.65%             |        62.78%
         41.26%             |        45.46%
         61.72%             |        99.48%
         50.10%             |        98.26%
         45.14%             |        81.94%
         32.56%             |        50.07%
         68.76%             |        40.97%
         33.24%             |        85.53%
         82.03%             |        45.47%
         45.15%             |        55.94%
         37.41%             |        49.39%
         41.33%             |        48.94%
         55.71%             |        49.68%
         74.16%             |        62.80%
         37.48%             |        89.03%
         85.05%             |        50.09%
         48.30%             |        85.80%
         57.94%             |        76.07%
         37.12%             |        62.81%
         50.09%             |        91.28%
         58.49%             |        45.54%
         62.55%             |        53.30%
         91.76%             |        41.30%
         45.47%             |        52.69%
         45.02%             |        91.78%
         50.10%             |        72.58%
         45.47%             |        53.32%
         82.23%             |        63.07%
         79.16%             |        37.47%
         52.75%             |        92.03%
         87.46%             |        84.78%
         92.07%             |        50.10%
         87.22%             |        55.71%
         49.36%             |        58.63%
         87.74%             |        51.69%
         49.29%             |        77.66%
         45.86%             |        49.97%
         41.68%             |        66.36%
         96.19%             |        45.85%
         36.71%             |        44.79%
         32.85%             |        96.09%
         50.10%             |        68.51%
         69.31%             |        78.70%
         33.23%             |        40.97%
         37.06%             |        44.09%
         62.28%             |        64.63%
         59.48%             |        44.73%
         32.91%             |        45.51%
         41.65%             |        95.48%
         95.47%             |        45.43%
         36.67%             |        91.17%
         59.84%             |        48.69%
         40.88%             |        59.84%
         53.05%             |        50.09%
         45.15%             |        50.00%
         66.33%             |        93.48%
         52.80%             |        49.74%
         50.03%             |        75.22%
         48.30%             |        98.49%
         45.85%             |        76.00%
         84.96%             |        44.82%
         49.73%             |        66.35%
         67.16%             |        55.69%
         55.96%             |        45.18%
         68.93%             |        45.89%
         86.40%             |        48.97%
         43.74%             |        62.47%
         41.30%             |        87.71%
         59.28%             |        41.33%
         49.70%             |        75.50%
         36.38%             |        65.78%
         59.80%             |        49.04%
         28.71%             |        91.71%
         29.06%             |        50.06%
         54.69%             |        49.03%
         48.91%             |        98.37%
         29.03%             |        39.91%
         59.30%             |        49.71%
         49.61%             |        59.55%
         50.09%             |        95.67%
         77.18%             |        56.30%
         44.79%             |        81.48%
         72.80%             |        81.48%
         28.99%             |        50.07%
         41.64%             |        79.09%
         36.70%             |        79.02%
         48.65%             |        45.11%
         45.43%             |        72.28%
         45.47%             |        49.58%
         91.83%             |        59.57%
         77.89%             |        45.79%
         45.73%             |        99.59%
         49.99%             |        82.01%
         32.88%             |        85.40%
         33.21%             |        82.05%
         96.57%             |        50.03%
         49.29%             |        99.40%
         45.86%             |        85.44%
         56.21%             |        82.48%
         75.75%             |        59.84%
         41.61%             |        61.97%
         45.18%             |        41.62%
         45.18%             |        41.27%
         49.35%             |        76.09%
         51.94%             |        78.78%
         53.02%             |        75.25%
         65.93%             |        49.65%
         37.11%             |        50.03%
         49.73%             |        44.12%
         72.14%             |        48.94%
         81.50%             |        45.53%
         41.23%             |        69.56%
         29.06%             |        45.50%
         33.24%             |        85.82%
         44.80%             |        50.07%
         51.42%             |        78.77%
         65.15%             |        44.82%
         44.73%             |        66.05%
         50.06%             |        85.87%
         44.77%             |        37.41%
         36.74%             |        94.26%
         75.73%             |        95.45%
         59.28%             |        49.36%
         62.49%             |        50.06%
         78.82%             |        82.33%
         41.65%             |        33.26%
         49.29%             |        99.28%
         36.76%             |        49.71%
         37.47%             |        49.62%
         47.98%             |        62.55%
         44.80%             |        81.98%
         36.76%             |        49.61%
         32.88%             |        49.93%
         41.20%             |        50.02%
         49.96%             |        51.96%
         85.58%             |        50.05%
         44.77%             |        69.38%
         82.26%             |        94.22%
         40.97%             |        90.72%
         94.32%             |        37.12%
         68.76%             |        88.92%
         49.74%             |        99.02%
         54.92%             |        69.61%
         95.84%             |        45.18%
         40.94%             |        45.89%
         50.02%             |        45.12%
         49.58%             |        84.78%
         53.32%             |        96.66%
         36.70%             |        96.19%
         70.95%             |        75.50%
         41.20%             |        65.78%
         29.03%             |        95.45%
         90.47%             |        49.87%
         72.86%             |        47.98%
         75.45%             |        44.82%
         41.68%             |        76.04%
         44.12%             |        41.23%
         41.26%             |        68.76%
         45.06%             |        53.21%
         55.49%             |        89.06%
         74.91%             |        37.02%
         91.19%             |        94.71%
         37.40%             |        72.18%
         49.90%             |        51.71%
         32.88%             |        29.06%
         99.75%             |        50.08%
         49.04%             |        71.43%
         92.09%             |        48.64%
         41.29%             |        85.44%
         41.67%             |        90.44%
         55.72%             |        91.78%
         79.28%             |        94.70%
         45.50%             |        49.97%
         77.70%             |        50.00%
         94.65%             |        91.21%
         47.95%             |        79.34%
         84.75%             |        49.38%
         51.92%             |        84.48%
         87.74%             |        48.88%
         45.49%             |        56.03%
         28.99%             |        58.73%
         81.46%             |        57.63%
         48.88%             |        93.86%
         97.00%             |        49.36%
         45.47%             |        49.68%
         45.53%             |        91.44%
         24.47%             |        62.99%
         33.23%             |        70.68%
         49.74%             |        84.98%
         82.34%             |        49.69%
         63.06%             |        45.53%
         89.02%             |        99.28%
         49.39%             |        55.99%
         49.74%             |        87.71%
         75.48%             |        88.99%
         91.28%             |        88.53%
         84.49%             |        65.51%
         49.64%             |        88.19%
         37.12%             |        92.01%
         41.65%             |        61.99%
         96.05%             |        87.67%
         90.69%             |        45.53%
         62.54%             |        75.20%
         49.35%             |        59.73%
         32.92%             |        96.19%
         45.41%             |        95.75%
         37.08%             |        78.75%
         85.02%             |        51.44%
         62.26%             |        49.03%
         45.53%             |        91.51%
         92.08%             |        32.88%
         91.94%             |        41.29%
         33.21%             |        98.64%
         41.55%             |        45.70%
         97.84%             |        72.57%
         56.17%             |        79.16%
         67.93%             |        45.47%
         61.13%             |        75.46%
         45.50%             |        79.28%
         49.64%             |        44.79%
         50.00%             |        59.83%
         91.17%             |        41.64%
         32.53%             |        45.41%
         48.59%             |        85.00%
         40.59%             |        92.05%
         83.67%             |        92.01%
         91.95%             |        40.97%
         72.56%             |        96.24%
         32.91%             |        41.68%
         37.41%             |        50.06%
         68.79%             |        60.90%
         52.80%             |        50.02%
         41.67%             |        45.76%
         72.54%             |        53.29%
         37.34%             |        75.83%
         92.03%             |        66.08%
         68.18%             |        45.15%
         41.30%             |        65.72%
         66.32%             |        45.18%
         81.23%             |        72.54%
         74.16%             |        66.33%
         81.98%             |        40.27%
         45.53%             |        41.58%
         41.67%             |        62.74%
         87.19%             |        95.80%
         82.52%             |        43.77%
         49.70%             |        71.77%
         88.52%             |        33.23%
         41.33%             |        56.03%
         49.39%             |        81.96%
         45.82%             |        48.33%
         24.15%             |        85.73%
         40.94%             |        50.00%
         53.19%             |        32.85%
         41.67%             |        50.06%
         52.23%             |        79.36%
         45.14%             |        77.44%
         96.57%             |        97.70%
         48.68%             |        88.53%
         40.97%             |        49.58%
         45.47%             |        48.27%
         41.31%             |        56.28%
         49.94%             |        64.67%
         45.86%             |        95.37%
         36.73%             |        49.61%
         45.73%             |        59.02%
         69.24%             |        45.85%
         88.99%             |        65.18%
         37.12%             |        87.15%
         59.74%             |        41.26%
         88.03%             |        49.26%
         40.62%             |        74.98%
         64.72%             |        82.29%
         37.12%             |        92.01%
         45.44%             |        96.98%
         91.71%             |        87.98%
         59.01%             |        88.01%
         20.64%             |        49.94%
         40.98%             |        68.45%
         49.71%             |        45.02%
         41.68%             |        44.09%
         45.79%             |        62.54%
         78.77%             |        49.67%
         66.15%             |        95.31%
         49.67%             |        72.85%
         90.67%             |        99.48%
         41.64%             |        99.93%
         33.27%             |        63.10%
         37.06%             |        68.24%
         48.68%             |        78.97%
         45.79%             |        88.26%
         91.74%             |        68.51%
         45.47%             |        66.33%
         71.45%             |        79.31%
         52.21%             |        41.33%
         41.30%             |        62.26%
         49.74%             |        94.63%
         50.05%             |        45.11%
         85.46%             |        97.42%
         49.97%             |        33.20%
         40.94%             |        89.90%
         78.41%             |        56.59%
         59.70%             |        45.40%
         32.88%             |        91.70%
         69.26%             |        62.19%
         41.32%             |        37.47%
         93.94%             |        48.65%
         53.34%             |        28.64%
         32.88%             |        92.08%
         59.78%             |        33.24%
         58.17%             |        56.44%
         49.67%             |        40.97%
         49.38%             |        41.65%
         72.01%             |        84.21%
         45.41%             |        83.96%
         41.26%             |        45.46%
         48.68%             |        82.48%
         99.28%             |        56.05%
         50.02%             |        66.25%
         68.70%             |        89.01%
         72.72%             |        40.94%
         49.33%             |        76.12%
         36.77%             |        50.10%
         48.68%             |        78.82%
         41.55%             |        95.12%
         58.76%             |        94.61%
         53.06%             |        41.26%
         45.12%             |        90.47%
         37.06%             |        52.78%
         33.24%             |        93.55%
         20.29%             |        82.01%
         83.92%             |        79.25%
         78.52%             |        56.03%
         36.77%             |        56.24%
         45.89%             |        48.94%
         53.32%             |        94.68%
         41.33%             |        50.09%
         36.74%             |        50.09%
         37.41%             |        87.73%
         59.46%             |        45.88%
         49.35%             |        41.62%
         49.26%             |        75.20%
         29.06%             |        45.18%
         66.25%             |        50.02%
         72.53%             |        58.44%
         58.47%             |        53.05%
         75.29%             |        45.44%
         37.12%             |        79.06%
         52.98%             |        84.46%
         49.61%             |        98.67%
         97.25%             |        45.14%
         32.88%             |        95.34%
         82.58%             |        40.98%
         41.30%             |        51.92%
         56.02%             |        88.26%
         37.44%             |        48.68%
         65.49%             |        72.66%
         51.89%             |        79.19%
         45.85%             |        47.59%
         62.69%             |        73.39%
         41.67%             |        91.01%
         33.24%             |        59.26%
         24.50%             |        85.53%
         45.17%             |        58.99%
         40.59%             |        45.15%
         44.09%             |        40.98%
         89.00%             |        45.53%
         45.86%             |        48.65%
         57.67%             |        69.59%
         41.27%             |        49.03%
         45.86%             |        68.50%
         41.20%             |        49.36%
         48.30%             |        96.05%
         48.94%             |        78.73%
         56.31%             |        41.68%
         99.55%             |        72.51%
         45.73%             |        96.95%
         55.23%             |        87.21%
         33.23%             |        47.97%
         35.71%             |        44.77%
         48.97%             |        59.57%
         82.48%             |        41.65%
         49.26%             |        36.77%
         71.77%             |        49.29%
         32.53%             |        36.77%
         45.86%             |        48.27%
         68.41%             |        88.19%
         58.99%             |        41.56%
         40.56%             |        85.71%
         37.44%             |        96.77%
         53.30%             |        59.00%
         61.47%             |        45.54%
         48.61%             |        62.24%
         24.85%             |        69.57%
         49.03%             |        41.62%
         49.99%             |        61.44%
         49.90%             |        69.16%
         49.23%             |        40.24%
         49.39%             |        62.23%
         96.18%             |        52.49%
         97.26%             |        81.18%
         68.24%             |        65.52%
         47.62%             |        87.73%
         32.56%             |        49.68%
         62.78%             |        49.00%
         50.03%             |        28.71%
         62.97%             |        96.47%
         36.06%             |        40.94%
         49.29%             |        85.71%
         78.73%             |        56.22%
         40.97%             |        45.37%
         64.65%             |        97.41%
         94.63%             |        76.04%
         74.41%             |        47.98%
         24.85%             |        76.06%
         36.77%             |        54.69%
         44.09%             |        55.71%
         95.01%             |        40.98%
         90.67%             |        49.01%
         50.03%             |        72.03%
         40.61%             |        75.23%
         82.46%             |        49.74%
         53.00%             |        79.23%
         91.26%             |        49.70%
         59.49%             |        33.20%
         85.42%             |        71.72%
         82.55%             |        88.42%
         82.60%             |        45.17%
         45.89%             |        49.74%
         45.69%             |        50.00%
         49.03%             |        65.47%
         85.54%             |        49.64%
         75.57%             |        36.38%
         54.39%             |        52.77%
         93.86%             |        50.09%
         50.03%             |        59.78%
         49.64%             |        53.00%
         95.05%             |        49.97%
         82.55%             |        49.58%
         98.65%             |        41.61%
         49.38%             |        68.76%
         41.61%             |        50.05%
         63.09%             |        49.74%
         72.32%             |        62.99%
         82.00%             |        54.42%
         59.70%             |        36.77%
         49.31%             |        45.76%
         44.44%             |        40.61%
         50.09%             |        41.30%
         40.88%             |        68.20%
         62.19%             |        45.53%
         44.12%             |        52.77%
         48.97%             |        75.64%
         59.30%             |        48.65%
         36.77%             |        98.89%
         56.28%             |        98.24%
         45.52%             |        49.74%
         48.68%             |        97.92%
         28.70%             |        87.42%
         50.07%             |        37.35%
         59.76%             |        45.82%
         98.24%             |        62.80%
         45.78%             |        49.74%
         95.85%             |        59.76%
         41.58%             |        80.91%
         81.48%             |        88.44%
         72.20%             |        49.71%
         96.08%             |        44.47%
         36.77%             |        45.69%
         44.45%             |        85.71%
         44.12%             |        49.74%
         41.26%             |        50.10%
         45.02%             |        48.68%
         84.44%             |        50.05%
         49.97%             |        53.04%
         53.25%             |        45.18%
         44.47%             |        89.92%
         45.52%             |        50.02%
         69.58%             |        49.38%
         37.47%             |        50.06%
         49.00%             |        66.08%
         45.81%             |        81.16%
         45.53%             |        69.01%
         69.56%             |        93.16%
         49.26%             |        41.67%
         49.26%             |        69.56%
         77.66%             |        45.50%
         84.42%             |        98.41%
         49.64%             |        72.32%
         96.05%             |        41.61%
         68.13%             |        78.52%
         32.85%             |        24.85%
         45.11%             |        91.65%
         97.21%             |        99.32%
         78.68%             |        99.08%
         89.03%             |        36.42%
         45.85%             |        49.74%
         55.17%             |        85.00%
         47.94%             |        65.47%
         95.89%             |        72.58%
         49.70%             |        91.01%
         75.47%             |        97.02%
         49.31%             |        29.06%
         81.23%             |        74.48%
         48.62%             |        82.59%
         50.06%             |        32.56%
         62.24%             |        75.54%
         44.09%             |        49.74%
         78.75%             |        94.97%
         50.05%             |        92.03%
         45.88%             |        50.02%
         28.64%             |        87.49%
         49.39%             |        55.98%
         49.96%             |        41.68%
         68.77%             |        56.44%
         93.12%             |        85.51%
         96.07%             |        51.94%
         52.48%             |        47.98%
         41.65%             |        48.97%
         40.95%             |        45.44%
         75.43%             |        44.12%
         29.06%             |        36.77%
         37.38%             |        45.53%
         49.01%             |        59.50%
         45.82%             |        59.85%
         40.98%             |        87.19%
         52.51%             |        41.68%
         72.85%             |        65.80%
         80.91%             |        66.24%
         28.71%             |        90.74%
         36.06%             |        52.76%
         28.36%             |        96.22%
         75.93%             |        49.29%
         48.97%             |        87.74%
         32.88%             |        49.33%
         75.56%             |        72.43%
         82.53%             |        95.11%
         58.19%             |        91.28%
         79.37%             |        24.85%
         41.64%             |        49.39%
         40.88%             |        36.38%
         32.91%             |        82.55%
         45.54%             |        53.23%
         44.09%             |        84.74%
         87.19%             |        85.74%
         62.94%             |        52.26%
         48.65%             |        59.56%
         41.68%             |        85.67%
         36.42%             |        45.44%
         52.74%             |        36.77%
         41.33%             |        49.65%
         48.64%             |        37.46%
         49.52%             |        95.48%
         78.41%             |        62.40%
         84.76%             |        95.02%
         81.25%             |        49.70%
         45.15%             |        29.06%
         44.76%             |        89.05%
         41.59%             |        65.99%
         36.70%             |        48.94%
         61.40%             |        56.49%
         91.24%             |        65.81%
         49.67%             |        62.01%
         68.45%             |        53.30%
         45.44%             |        72.59%
         72.29%             |        91.00%
         45.86%             |        91.42%
         52.52%             |        82.34%
         45.12%             |        41.33%
         44.83%             |        52.19%
         48.97%             |        78.00%
         98.64%             |        49.97%
         45.50%             |        40.24%
         55.67%             |        85.48%
         49.75%             |        99.28%
         49.74%             |        45.85%
         68.99%             |        50.02%
         69.20%             |        48.33%
         49.94%             |        59.48%
         51.71%             |        91.28%
         50.05%             |        33.27%
         49.39%             |        40.97%
         74.45%             |        50.10%
         40.88%             |        49.04%
         45.18%             |        56.32%
         59.82%             |        45.89%
         66.18%             |        33.23%
         41.65%             |        66.34%
         37.12%             |        49.62%
         49.73%             |        91.92%
         52.51%             |        45.50%
         45.18%             |        96.90%
         45.43%             |        56.06%
         40.56%             |        91.51%
         45.86%             |        62.28%
         45.82%             |        48.97%
         69.58%             |        48.94%
         44.38%             |        81.46%
         58.98%             |        45.89%
         69.33%             |        79.36%
         44.73%             |        66.32%
         78.73%             |        45.09%
         80.69%             |        88.99%
         70.95%             |        82.05%
         68.25%             |        50.10%
         28.97%             |        45.46%
         45.47%             |        48.61%
         33.27%             |        96.63%
         49.74%             |        94.96%
         44.47%             |        40.97%
         65.78%             |        56.59%
         55.75%             |        85.05%
         97.35%             |        41.58%
         62.99%             |        55.90%
         50.03%             |        84.96%
         41.29%             |        82.48%
         45.50%             |        95.51%
         91.81%             |        49.00%
         48.68%             |        72.51%
         45.76%             |        82.42%
         45.86%             |        82.55%
         49.62%             |        88.97%
         45.79%             |        73.93%
         36.41%             |        49.74%
         59.31%             |        98.98%
         52.69%             |        48.97%
         72.70%             |        49.75%
         75.53%             |        32.85%
         87.40%             |        78.46%
         76.12%             |        48.30%
         40.94%             |        49.33%
         90.90%             |        53.04%
         45.89%             |        72.43%
         51.42%             |        50.09%
         49.26%             |        75.95%
         48.58%             |        66.15%
         39.88%             |        85.56%
         40.97%             |        84.19%
         65.97%             |        45.41%
         33.27%             |        49.01%
         55.19%             |        85.05%
         41.67%             |        50.03%
         37.47%             |        50.09%
         32.91%             |        48.97%
         41.64%             |        45.41%
         33.24%             |        44.76%
         90.98%             |        41.58%
         49.66%             |        96.59%
         77.45%             |        36.70%
         85.57%             |        45.38%
         45.79%             |        48.96%
         40.91%             |        95.43%
         65.80%             |        71.76%
         49.29%             |        91.19%
         75.79%             |        52.79%
         45.86%             |        50.02%
         96.60%             |        45.53%
         49.97%             |        75.43%
         52.23%             |        41.26%
         45.85%             |        49.97%
         71.41%             |        68.95%
         41.30%             |        50.89%
         36.73%             |        29.05%
         49.68%             |        58.94%
         55.21%             |        37.44%
         53.07%             |        76.08%
         45.50%             |        59.56%
         45.09%             |        92.03%
         41.59%             |        96.14%
         45.89%             |        95.37%
         89.06%             |        29.06%
         50.00%             |        79.23%
         50.00%             |        41.33%
         62.54%             |        54.90%
         87.65%             |        45.47%
         69.50%             |        45.73%
         49.64%             |        59.49%
         41.20%             |        49.74%
         41.61%             |        94.94%
         41.68%             |        50.02%
         85.82%             |        62.65%
         49.73%             |        37.12%
         58.42%             |        40.98%
         37.41%             |        49.33%
         45.53%             |        74.43%
         50.00%             |        89.03%
         45.50%             |        49.67%
         63.10%             |        75.57%
         62.55%             |        45.85%
         63.06%             |        50.03%
         36.03%             |        50.06%
         50.00%             |        44.83%
         61.46%             |        45.88%
         40.24%             |        91.79%
         45.50%             |        51.17%
         65.24%             |        32.88%
         45.50%             |        40.91%
         45.12%             |        96.65%
         40.26%             |        48.33%
         88.51%             |        74.18%
         37.12%             |        45.12%
         88.28%             |        24.85%
         58.48%             |        70.93%
         69.43%             |        45.49%
         48.65%             |        85.57%
         45.88%             |        85.01%
         41.30%             |        91.53%
         85.48%             |        63.09%
         48.62%             |        56.28%
         49.75%             |        88.92%
         33.23%             |        40.97%
         44.79%             |        50.10%
         92.10%             |        98.74%
         32.91%             |        20.65%
         45.44%             |        41.29%
         95.44%             |        40.97%
         32.18%             |        64.71%
         95.87%             |        48.29%
         40.56%             |        47.91%
         85.80%             |        58.95%
         37.38%             |        88.57%
         45.54%             |        72.51%
         49.04%             |        32.53%
         43.77%             |        50.00%
         96.26%             |        49.33%
         63.09%             |        59.21%
         45.88%             |        95.44%
         33.27%             |        44.83%
         84.98%             |        45.88%
         45.50%             |        49.36%
         49.35%             |        32.56%
         66.02%             |        45.85%
         45.15%             |        78.52%
         45.50%             |        98.56%
         97.05%             |        49.90%
         41.26%             |        92.04%
         45.79%             |        48.33%
         49.35%             |        82.61%
         50.03%             |        82.58%
         37.47%             |        93.89%
         88.57%             |        49.71%
         50.06%             |        40.62%
